id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
42,5,7,5,4,6,5,7,4,5,5,4,5,7,7,7,1,3,0,1,54,5
43,5,5,4,4,4,4,6,3,5,6,4,5,6,7,6,3,2,1,1,35,6
44,5,5,5,5,6,5,5,4,5,5,3,4,5,4,5,5,1,1,0,39,4
45,3,5,4,3,5,4,5,3,3,4,3,3,5,5,6,3,2,0,0,59,2
46,5,6,7,3,6,7,6,3,5,6,4,5,6,6,6,5,3,0,0,27,5
47,3,4,5,3,5,5,5,3,5,6,4,4,4,4,5,7,1,1,0,18,4
48,4,4,5,4,4,5,4,3,5,6,3,4,4,4,4,5,1,1,0,26,4
49,5,5,6,3,6,5,6,3,5,5,3,5,6,7,5,2,2,0,0,34,3
50,4,5,6,2,5,6,5,2,5,6,3,5,5,5,5,4,1,0,0,32,3
51,3,5,5,3,6,5,5,3,4,5,4,3,5,6,7,6,2,1,0,19,4
52,5,5,4,2,6,4,6,2,5,4,3,5,5,4,4,7,1,1,0,18,3
53,5,5,7,5,6,7,7,3,4,6,4,4,7,6,7,3,3,0,0,35,5
54,5,5,6,2,5,5,5,2,5,5,2,5,5,5,5,6,1,0,0,26,3
55,5,5,5,5,4,5,4,5,5,4,3,5,5,4,4,5,2,1,0,20,4
56,4,5,6,2,5,6,5,2,4,6,3,4,5,5,5,5,1,0,0,21,3
57,5,6,7,3,6,7,6,3,5,5,2,5,6,6,6,1,3,0,0,68,3
58,3,5,7,2,5,6,4,1,3,6,1,3,4,3,4,7,1,1,0,24,2
59,5,5,4,4,6,4,5,4,5,4,4,5,6,5,5,5,1,1,1,27,5
60,5,7,7,4,4,7,6,2,5,6,3,5,7,7,7,5,3,0,1,20,7
61,5,5,7,5,3,6,6,3,5,6,4,5,7,6,6,2,3,0,1,37,6
62,3,5,7,5,5,7,6,4,4,6,5,3,7,6,7,2,3,0,1,38,5
63,5,6,5,5,4,5,6,3,5,6,4,5,7,7,6,2,3,1,1,36,6
